image_name,mask_name,image_path,mask_path
image_002331.png,mask_002331.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_002331.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_002331.png
image_002639.png,mask_002639.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_002639.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_002639.png
image_003190.png,mask_003190.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_003190.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_003190.png
image_001923.png,mask_001923.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_001923.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_001923.png
image_003596.png,mask_003596.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_003596.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_003596.png
image_000579.png,mask_000579.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_000579.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_000579.png
image_002241.png,mask_002241.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_002241.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_002241.png
image_000863.png,mask_000863.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_000863.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_000863.png
image_001316.png,mask_001316.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_001316.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_001316.png
image_000001.png,mask_000001.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_000001.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_000001.png
image_001124.png,mask_001124.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_001124.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_001124.png
image_001396.png,mask_001396.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_001396.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_001396.png
image_003779.png,mask_003779.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_003779.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_003779.png
image_003886.png,mask_003886.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_003886.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_003886.png
image_002404.png,mask_002404.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_002404.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_002404.png
image_002185.png,mask_002185.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\images\image_002185.png,C:\Users\HP Omen\Desktop\CSIR_4PI\Medical-Segmentation\dataset\masks\mask_002185.png
